Round,Counsel. Rank,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Penalty,Bond Years,Beds (Inst.)
2,32166,Tel Govt-NS LOC,OPEN-GEN,Telangana,MNR Med Coll Sangareddy,ORTHOPAEDICS,700000,Info not available,2000000,1,760
2,32200,Tel Govt-NS LOC,OPEN-GEN,Telangana,MNR Med Coll Sangareddy,ANAESTHESIOLOGY,700000,Info not available,2000000,1,760
2,32302,Tel Govt-Serv LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,GENERAL MEDICINE,10000, 50686,2000000,1,4800
2,32390,Tel Govt-NS LOC,BCD-GEN,Telangana,Kakatiya Med Coll Warangal,PATHOLOGY,10000, 50686,2000000,1,1150
2,32444,Tel Govt-Serv LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,RADIO DIAGNOSIS,10000, 50686,2000000,1,4800
2,32470,Tel Govt-NS LOC,SC-FEM,Telangana,Prathima IMS Karimnagar,OBG,750000,Info not available,2000000,1,1060
2,32507,Tel Govt-NS UNR,SC-FEM,Telangana,Malla Reddy IMS Hyderabad,GENERAL MEDICINE,700000,Info not available,2000000,1,940
2,32553,Tel Govt-NS LOC,SC-FEM,Telangana,Prathima IMS Karimnagar,GENERAL MEDICINE,750000,Info not available,2000000,1,1060
2,32746,Tel Govt-NS LOC,BCD-GEN,Telangana,MNR Med Coll Sangareddy,OPHTHALMOLOGY,700000,Info not available,2000000,1,760
2,32747,Tel Govt-NS LOC,OPEN-GEN,Telangana,Govt Med Coll Mahabubnagar,PATHOLOGY,10000, 50686,2000000,1,900
2,32748,Tel Govt-NS LOC,BCD-FEM,Telangana,SVS Med Coll Mehboobnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,760
2,32759,Tel Govt-NS LOC,OPEN-GEN,Telangana,Dr Patnam MRInstofMSChevella,ANAESTHESIOLOGY,700000,Info not available,2000000,1,-
2,32841,Tel Govt-NS LOC,BCB-FEM,Telangana,Gandhi Med Coll Secunderabad,PATHOLOGY,10000, 50686,2000000,1,1200
2,32981,Tel Govt-NS UNR,MIN-GEN-MSM,Telangana,DCMS Hyderabad,ANAESTHESIOLOGY,775000,Info not available,2000000,1,1400
2,33052,Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,DCMS Hyderabad,ANAESTHESIOLOGY,775000,Info not available,2000000,1,1400
2,33179,Tel Govt-NS LOC,SC-GEN,Telangana,Surabhi InstituteofMSSiddipet,GENERAL MEDICINE,775000,Info not available,2000000,1,-
2,33208,Tel Govt-NS LOC,BCE-FEM,Telangana,Osmania Med Coll Hyderabad,DO,10000, 50686,1000000,1,4800
2,33269,Tel Govt-NS LOC,SC-FEM,Telangana,Malla Reddy(Women) Hyderabad,GENERAL MEDICINE,700000,Info not available,2000000,1,1050
2,33274,Tel Govt-NS LOC,BCB-GEN,Telangana,Kakatiya Med Coll Warangal,PSYCHIATRY,10000, 50686,2000000,1,1150
2,33334,Tel Govt-NS LOC,BCD-FEM,Telangana,Apollo IMSR Hyderabad,OPHTHALMOLOGY,750000,Info not available,2000000,1,570
2,33340,Tel Govt-NS LOC,ST-FEM,Telangana,Gandhi Med Coll Secunderabad,PAEDIATRICS,10000, 50686,2000000,1,1200
2,33486,Tel Govt-NS LOC,OPEN-FEM,Telangana,Mahavir Inst of MS Vikarabad,ANAESTHESIOLOGY,700000,Info not available,2000000,1,700
2,33528,Tel Govt-NS UNR,BCA-GEN,Telangana,MNR Med Coll Sangareddy,ANAESTHESIOLOGY,700000,Info not available,2000000,1,760
2,33755,Tel Govt-NS LOC,BCA-GEN,Telangana,Prathima IMS Karimnagar,GENERAL SURGERY,750000,Info not available,2000000,1,1060
2,33916,Tel Govt-NS LOC,BCB-GEN,Telangana,Prathima IMS Karimnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,1060
2,33962,Tel Govt-NS LOC,MIN-GEN-MSM,Telangana,Shadan IMSRC Peerancheru,ANAESTHESIOLOGY,750000,Info not available,2000000,1,800
2,34039,Tel Govt-NS LOC,SC-GEN,Telangana,Osmania Med Coll Hyderabad,ORTHOPAEDICS,10000, 50686,2000000,1,4800
2,34041,Tel Govt-NS LOC,BCB-GEN,Telangana,Osmania Med Coll Hyderabad,PATHOLOGY,10000, 50686,2000000,1,4800
2,34100,Tel Govt-NS LOC,BCB-FEM,Telangana,Kamineni IMS Narketpally,ANAESTHESIOLOGY,750000,Info not available,2000000,1,1060
